time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average,Bids Volume,Asks Volume,ATR,ADX,DI+,DI-
1589558400,197.78,198.99,193.36,194.59,253127.549,44.18349299932597,1.0097588046982366,1.0192146623753415,-0.009455857677104884,206.73739675553102,196.97300000000044,187.20860324446986,198.65420000000012,NaN,NaN,4.963540993556362,24.570619775615476,14.847459058234572,29.351237724987236
1589572800,194.6,197.91,191.21,194.71,242471.822,44.44786269361135,0.6295501886111765,0.9412817676225085,-0.31173157901133197,206.577485648941,197.17050000000046,187.7635143510599,198.42580000000012,NaN,NaN,5.087573779730907,25.4959142423051,13.450807137339785,29.60882201673297
1589587200,194.72,199.67,193.2,198.45,210673.067,52.0678002742214,0.6228391624619292,0.8775932465903926,-0.25475408412846345,206.3460605480865,197.61950000000044,188.89293945191437,198.13080000000014,NaN,NaN,5.186318509750128,25.783376476987605,14.676191601898434,26.970436892926415
1589601600,198.46,202.36,198.36,199.35,253705.057,53.71317061587707,0.6822782255933078,0.8385302423909756,-0.15625201679766787,206.04694308714178,198.10500000000044,190.1630569128591,197.87280000000013,NaN,NaN,5.101581473339405,25.241492351520183,17.620589959984628,25.45995643651598
1589616000,199.36,201.17,198.37,200.15,138170.712,55.18576930936723,0.7848897055327768,0.8278021350193359,-0.042912429486559045,205.80714984634568,198.57300000000046,191.33885015365524,197.61480000000014,NaN,NaN,4.937182796672304,24.73831423501472,16.90679868728308,24.428600803758126
1589630400,200.15,203.46,199.86,200.63,212051.492,56.08846532853665,0.8946293014336959,0.8411675683022078,0.053461733131488054,205.1445908555579,199.11850000000044,193.09240914444297,197.43740000000014,NaN,NaN,4.8416697397671395,23.60024650728978,19.387281864174348,23.13118884790201
1589644800,200.63,201.23,197.63,199.98,181271.87,54.48786759931784,0.918560559744293,0.8566461665906249,0.06191439315366809,204.29877758456198,199.56900000000044,194.8392224154389,197.20620000000014,NaN,NaN,4.752979044069487,23.04450675621128,18.33840262347833,25.231040613830633
1589659200,199.98,201.92,199.5,200.39,105124.724,55.35333916847198,0.9595487471985393,0.8772266827122077,0.08232206448633161,204.3760375104449,199.68400000000045,194.99196248955602,196.98160000000016,NaN,NaN,4.586337683778808,22.321723899767353,18.721856190958352,24.28009328013456
1589673600,200.4,202.4,199.5,201.4,144688.515,57.497523217380916,1.0612967715891841,0.914040700487603,0.14725607110158112,204.4669173064567,199.91400000000044,195.36108269354418,196.74920000000012,NaN,NaN,4.465884992080322,21.502332846533044,18.621198123265515,23.153900397276796
1589688000,201.39,202.9,200.34,202.01,116816.623,58.784948602314365,1.177580303273146,0.9667486210447116,0.2108316822284344,204.67632689905605,200.03750000000045,195.39867310094485,196.56000000000012,NaN,NaN,4.3297503497888705,20.58153309006708,18.659632091182292,22.17604815855561
